id,artist
1,5th Dimension
2,A Tribe Called Quest
3,Aaron Copland cond. London Symphony Orchestra
4,Aaron Copland cond. The Boston Symphony
5,Aaron Neville
6,ABBA
7,AC/DC
8,Aerosmith
9,Al Dexter
10,Al Green
11,Al Jolson
12,Al Jolson With The Isham Jones Orchestra
13,Albert King
14,"Alexander Smallens cond. Lawrence Tibbett, Helen Jepson, The Original Orchestra & Chorus; ""Under The Supervision Of The Composer"""
15,Alice Cooper
16,Allman Brothers Band
17,Andres Segovia
18,Andrews Sisters
19,Andy Williams
20,"Antal Dorati & Minneapolis Symphony Orchestra Yale Bells, West Point Cannon"
21,Antal Dorati cond. Minneapolis Symphony Orchestra
22,Anton Karas
23,Aretha Franklin
24,Aretha Franklin With James Cleveland & The Southern California Comm. Choir
25,Arlo Guthrie
26,Art Blakey & The Jazz Messengers
27,Art Blakey Quintet
28,Art Tatum
29,"Arthur ""Big Boy"" Crudup"
30,Arthur Collins & Byron Harlan
31,Arthur Fiedler cond. Boston Pops Orchestra
32,Arthur Nikisch cond. Berlin Philharmonic
33,Artie Shaw
34,Artie Shaw & His Orchestra
35,Artur Rubinstein
36,Artur Schnabel
37,"Artur Schnabel, piano & Malcolm Sargent, cond. London Symphony 1, 5 & London Philharmonic 2, 3, 4"
38,Arturo Toscanini cond. NBC Symphony Orchestra
39,"Arturo Toscanini cond. NBC Symphony; Herva Nelli, Ramon Vinay, Giuseppe Valdengo"
40,Arturo Toscanini cond. New York Philharmonic Symphony Orchestra
41,B. J. Thomas
42,B.B. King
43,Barbra Streisand
44,Beastie Boys
45,"Béla Bartók, Piano; Joseph Szigeti, Violin; Benny Goodman, Clarinet"
46,Ben E. King
47,Ben Selvin & His Orchestra
48,"Benjamin Britten cond. London Symphony Chorus & Orchestra, Highgate School Choir, Melos Ensemble; Vishnevskaya, Pears, Fischer-Dieskau"
49,Benny Goodman
50,Benny Goodman & His Orchestra
51,"Benny Goodman & His Orchestra, Martha Tilton, Vocal & Ziggy Elman, Trumpet"
52,Benny Goodman Quartet
53,Benny Goodman Sextet
54,Bert Williams
55,Bessie Smith
56,Bessie Smith With Louis Armstrong
57,Betty Wright
58,Bidú Sayão With Heitor Villa-Lobos cond. 'Cello Ensemble
59,Big Bill Broonzy
60,Big Brother & The Holding Company
61,Big Brother & The Holding Company Featuring Janis Joplin
62,Big Maceo Merriweather
63,Big Maybelle
64,Bill Cosby
65,Bill Doggett
66,Bill Evans
67,Bill Evans Trio
68,Bill Haley & The Comets
69,Bill Justis & His Orchestra
70,Bill Monroe & His Blue Grass Boys
71,Bill Withers
72,Billie Holiday
73,Billy Eckstine
74,Billy Joel
75,Billy Murray
76,Billy Paul
77,Bing Crosby
78,Bing Crosby & The Andrews Sisters
79,"Bing Crosby, The Ken Darby Singers"
80,Bix Beiderbecke
81,Blind Alfred Reed
82,Blind Lemon Jefferson
83,Blind Willie Johnson
84,Blind Willie McTell
85,Blondie
86,"Blood, Sweat & Tears"
87,Bo Diddley
88,Bob Dylan
89,Bob Dylan & The Band
90,Bob Hope & Shirley Ross
91,Bob Marley & The Wailers
92,Bob Newhart
93,Bob Wills & His Texas Playboys Featuring Leon McAuliffe
94,Bob Wills & His Texas Playboys
95,Bobbie Gentry
96,"Bobby ""Blue"" Bland"
97,Bobby Darin
98,Bobby Fuller Four
99,Bonnie Raitt
100,Booker T. & The MG's
101,Brenda Lee
102,Broadway Cast Original
103,Bruce Springsteen
104,Bruno Walter cond. Vienna Philharmonic Orchestra With Kathleen Ferrier & Julius Patzak
105,Buck Owens
106,Bud Powell Trio
107,Budapest String Quartet
108,Buddy Holly
109,Buena Vista Social Club
110,Buffalo Springfield
111,Bukka White
112,Bunny Berigan
113,Cab Calloway & His Orchestra
114,Cannon's Jug Stompers
115,Cannonball Adderley Quintet
116,Carl Perkins
117,Carl Reiner & Mel Brooks
118,Carlo Savina
119,Carlos Gardel
120,Carly Simon
121,Carole King
122,Carpenters
123,Charles Mingus
124,Charles Munch cond. Boston Symphony Orchestra
125,Charley Patton
126,Charley Pride
127,Charlie Barnet & His Orchestra
128,Charlie Parker
129,Charlie Parker & His Re-Boppers
130,Charlie Parker Septet
131,Charlie Parker Sextet
132,"Charlie Parker, Dizzy Gillespie, Bud Powell, Max Roach, Charles Mingus"
133,Charlie Parker's Ri Bop Boys
134,Charlie Poole
135,Charlie Rich
136,Chet Baker
137,Chic
138,Chicago
139,Chick Corea
140,Chick Webb & His Orchestra With Ella Fitzgerald
141,Chubby Checker
142,Chuck Berry
143,Cliff Edwards
144,"Clifford Brown, Max Roach"
145,Clifton Chenier
146,Clyde McPhatter & the Drifters
147,Cole Porter
148,Coleman Hawkins
149,Conway Twitty
150,Count Basie
151,Count Basie & His Orchestra
152,"Count Basie Orchestra, Joe Williams, Vocal"
153,Count Basie's Kansas City 7 Featuring Lester Young
154,Cream
155,Creedence Clearwater Revival
156,"Crosby, Stills & Nash"
157,"Crosby, Stills, Nash & Young"
158,Curtis Mayfield
159,Dave Brubeck Quartet
160,David Bowie
161,David Oistrakh; Dimitri Mitropoulos cond. New York Philharmonic
162,David Rose & His Orchestra
163,De La Soul
164,Dean Martin
165,Deep Purple
166,DeFord Bailey
167,Del Shannon
168,Derek & The Dominos
169,Desmond Dekker & The Aces
170,Devo
171,Dick Dale & The Del-Tones
172,Dick Powell
173,Dimitri Mitropoulos cond. Minneapolis Symphony Orchestra
174,"Dimitri Mitropoulos cond. New York Philharmonic Orchestra, Mack Harrell, Eileen Farrell"
175,Dinah Washington
176,Dinu Lipatti
177,Dion
178,Dion & The Belmonts
179,Dionne Warwick
180,Dizzy Gillespie & His Orchestra
181,Dizzy Gillespie & His Sextet
182,Django Reinhardt & Stephane Grappelli With The Quintet Of The Hot Club Of France
183,Doc Watson
184,Dolly Parton
185,"Dolly Parton, Linda Ronstadt, Emmylou Harris"
186,Don McLean
187,Donna Summer
188,Dooley Wilson
189,Doris Day
190,Dr. Dre
191,Dr. John
192,Dr. Martin Luther King Jr.
193,Duke Ellington
