id,label
1,20th Century Fox
2,A&M
3,ABC
4,ABC Paramount
5,ABC-Dot
6,ABC/TRC
7,Albert/Atlantic
8,Alco
9,Alston
10,Angel
11,Apollo
12,Apple
13,ARC
14,Argo
15,Arhoolie
16,Arista
17,Aristocrat
18,Asch
19,Asylum
20,Asylum Records
21,Atco
22,Atlantic
23,Bang
24,Battle
25,Beethoven Sonata Society/HMV
26,Bethlehem
27,Big Top
28,Black & White
29,Blue Note
30,Bluebird
31,Bluebird/RCA
32,BluesWay
33,Boardwalk
34,Brunswick
35,Buddah
36,Buena Vista
37,Bullet
38,Cadence
39,Capitol
40,Capricorn
41,Casablanca
42,Cat
43,CBS
44,Challenge
45,Checker
46,Chess
47,Chrysalis
48,Circle Sound
49,Clef
50,Columbia
51,Columbia Masterworks
52,Columbia Records
53,Columbia/Vocalion
54,Commodore
55,Concert Hall
56,Coral
57,Cotillion
58,Cotillion/Atlantic
59,Coxsone
60,Curtom
61,De-Lite
62,Death Row
63,Debut
64,Decca
65,Decca Records
66,Def Jam
67,Del-Fi
68,Delmark
69,Deltone
70,Deram
71,DGC
72,Dial
73,Dimension
74,Dolton
75,Dootone
76,Dot
77,Duke
78,Dunhill
79,ECM
80,Edison
81,Elektra
82,Emarcy
83,Ember
84,EMI-Angel
85,End
86,English Columbia
87,Enterprise
88,Epic
89,Epic Associated
90,Excello
91,Fantasy
92,Federal
93,Flying Dutchman
94,Folkways
95,Fontana/Atco
96,Fury
97,Gee
98,Geffen
99,Gennett
100,Goldwax
101,Gordy
102,Grammophon/Polydor
103,Groove/RCA
104,Harvest
105,Hi
106,His Master's Voice
107,Imperial
108,Impulse
109,Impulse/MCA
110,Island
111,Island/Tuff Gong
112,Jazzland
113,Jive
114,Josie
115,Jubilee
116,Kama Sutra
117,Kapp
118,Keen
119,Keynote
120,King
121,Laurie
122,Liberty
123,Library Of Congress
124,Little David
125,London
126,Mala
127,Master
128,MCA
129,Mega
130,Mercury
131,MGM
132,MGM Records
133,Modern
134,Modern Records
135,Monument
136,Motown
137,Musicraft
138,N/A
139,Nonesuch
140,Nordskog
141,Ode
142,Odeon
143,OKeh
144,Pacific Jazz
145,Paisley Park/Warner Bros.
146,Par Lo
147,Paramount
148,Parkway
149,Parrot
150,Partee/Stax
151,Peacock
152,Philadelphia International
153,Philles
154,Phillips
155,Plantation
156,Polydor
157,Prestige
158,Profile
159,RCA
160,RCA Red Seal
161,RCA Victor
162,Reprise
163,Riverside
164,Rolling Stones
165,Rolling Stones/Atlantic
166,RPM
167,RSO
168,Ruffhouse/Columbia
169,Ruthless/Priority
170,Savoy
171,Scepter
172,Shelter
173,Singer
174,Sire
175,Smash
176,Soul
177,Soul City
178,Soul/Motown
179,Sounds Of The South/MCA
180,Specialty
181,Stax
182,Sterling
183,Sugar Hill
184,Sun
185,Sussex
186,Tamla
187,Tico
188,Tommy Boy
189,Tribe
190,Trumpet
191,United Artists
192,Uni
193,United
194,Vanguard
195,Vee Jay
196,Vertigo
197,Verve
198,Victor
199,Victor Records
200,Victor Red Seal
201,Victrola
202,Virgin
203,Vitacoustic
204,Vocalion
205,Vocalion Records
206,Volt
207,Wand
208,Warner Bros.
209,White Whale
210,World Circuit/Nonesuch
211,Coda
212,Mustang
213,Ardent
214,Gotham
215,Rounder
216,Roc-A-Fella/Priority
217,Island/A&M
218,Coconut
